region,value
45043,278813
45045,30839
45047,5027
45049,128808
45051,8921
45053,19912
45055,23882
45057,23335
45059,3776
45061,122459
45063,1848
45065,7126
45067,7587
45069,14164
45071,25191
45073,31435
45075,37655
45077,235766
45079,5025
45081,136663
45083,44960
45085,7971
45087,10433
45089,91995
45091,891
46003,9130
46005,999
46007,1968
46009,20258
46011,22587
46013,2184
46015,583
46017,3164
46019,528
46021,3638
46023,1163
46025,7058
46027,16836
46029,966
46031,2675
46033,13214
46035,2112
46037,1584
46039,2314
46041,1294
46043,1336
46045,2810
46047,728
46049,4244
46051,1602
46053,912
46055,1898
46057,1544
46059,672
46061,586
46063,11237
46065,2790
46067,545
46069,844
46071,1511
46073,500
46075,1858
46077,5416
46079,12350
46081,21140
46083,1576
46085,1578
46087,651
46089,1739
46091,8121
46093,432
46095,800
46097,129844
46099,2284
46101,4218
46103,62012
46105,1300
46107,964
46109,3800
46111,649
46113,2543
46115,1441
46117,659
46119,3035
46121,2317
46123,2222
46125,9833
46127,2432
46129,13285
46135,378
46137,40543
47001,19553
47003,4488
47005,2014
47007,49629
47009,45463
47011,9995
47013,2375
47015,8217
47017,11896
47019,8802
47021,3961
47023,9679
47025,1848
47027,8413
47029,26302
47031,4101
47033,18775
47035,485321
47037,3809
47039,5927
47041,17213
47043,16882
47045,8596
47047,5112
47049,13374
47051,14956
47053,11039
47055,4078
47057,27501
47059,2424
47061,31717
47063,205411
47065,1009
47067,7156
47069,8349
47071,13230
47073,5381
47075,8659
47077,12184
47079,4055
47081,1657
47083,6257
47085,1690
47087,13877
47089,4265
47091,248440
47093,1786
47095,6392
47097,11157
47099,2832
47101,10246
47103,15081
47105,18844
47107,6208
47109,5357
47111,59988
47113,7810
47115,9099
47117,32897
47119,2139
47121,14650
47123,54724
47125,2125
47127,3008
47129,10544
47131,4807
47133,2185
47135,1203
47137,2711
47139,37088
47141,11852
47143,19373
47145,24257
47147,125447
47149,5865
47151,3130
47153,46544
47155,521350
47157,5557
47159,2942
47161,73204
47163,54481
47165,11964
47167,1670
47169,5450
47171,2607
47173,857
47175,15139
47177,64468
47179,4471
47181,12491
47183,7233
47185,125140
47187,43109
47189,
48001,21205
48003,7956
48005,38444
48007,7159
48009,2046
48011,439
48013,14732
48015,11130
48017,2471
48019,3494
48021,17848
48023,1323
48025,9538
48027,161430
48029,902041
48031,3267
48033,254
48035,4147
48037,44280
48039,111202
48041,104385
48043,4008
48045,400
48047,2799
48049,16780
48051,4580
48053,14494
48055,8895
48057,11649
48059,2468
48061,147056
48063,3857
48065,4619
48067,7897
48069,2733
48071,14336
48073,15688
48075,2635
48077,1599
48079,876
48081,753
48083,2386
48085,391405
48087,1044
48089,7548
48091,52005
48093,3929
48095,1021
48097,16434
48099,16642
48101,432
48103,1506
48105,1681
48107,1632
48109,1327
48111,3864
48113,1706691
48115,4671
48117,7354
48119,1505
48121,234548
48123,8804
48125,712
48127,6262
48129,1093
48131,3857
48133,8072
48135,77441
48137,521
48139,50004
48141,339138
48143,16957
48145,3899
48147,7776
48149,10046
48151,1013
48153,1728
48155,379
48157,183315
48159,3232
48161,5977
48163,7618
48165,6721
48167,111051
48169,1977
48171,11117
48173,629
48175,1555
48177,7721
48179,9158
48181,47847
48183,81375
48185,8374
48187,38592
48189,12525
48191,988
48193,2623
48195,2405
48197,1286
48199,13828
48201,2439646
48203,26590
48205,2784
48207,1839
48209,63982
48211,2485
48213,17673
48215,263758
48217,10105
48219,10963
48221,17335
48223,13561
48225,7049
48227,13488
48229,1222
48231,30520
48233,9201
48235,1232
48237,3457
48239,6014
48241,11114
48243,804
48245,130701
48247,1986
48249,20086
48251,48713
48253,4712
48255,6283
48257,31180
48259,14834
48261,756
48263,332
48265,19324
48267,1542
48269,124
48271,920
48273,13639
48275,1312
48277,21527
48279,4139
48281,5112
48283,3830
48285,6644
48287,7535
48289,6029
48291,17842
48293,8591
48295,1435
48297,4963
48299,5227
48301,45
48303,142204
48305,1507
48307,3239
48309,115033
48311,795
48313,5017
48315,2198
48317,2054
48319,1254
48321,12084
48323,18528
48325,10437
48327,499
48329,94428
48331,6425
48333,1421
48335,2478
48337,5849
48339,177785
48341,10754
48343,4560
48345,406
48347,23584
48349,17821
48351,1797
48353,6464
48355,175102
48357,5595
48359,1248
48361,24886
48363,9093
48365,10345
48367,35784
48369,5483
48371,6439
48373,11444
48375,83787
48377,1977
48379,2050
48381,32323
48383,2065
48385,816
48387,2856
48389,4831
48391,2692
48393,273
48395,4394
48397,27709
48399,3138
48401,14786
48403,2365
48405,1788
48407,2423
48409,21811
48411,1787
48413,1169
48415,8509
48417,1629
48419,9139
48421,1026
48423,105605
48425,4155
48427,16498
48429,3458
48431,671
48433,626
48435,2332
48437,2020
48439,895106
48441,67819
48443,373
48445,4205
48447,574
48449,16146
48451,53293
48453,728495
48455,2633
48457,4385
48459,8007
48461,1933
48463,10384
48465,19473
48467,11376
48469,43747
48471,25237
48473,17961
48475,5099
48477,16200
48479,104738
48481,16829
48483,2599
48485,60860
48487,6312
48489,4124
48491,161564
48493,8656
48495,2863
48497,22246
48499,10393
48501,4297
48503,7512
48505,4814
48507,3573
49001,2968
49003,19732
49005,55285
49007,8940
49009,448
49011,128575
49013,8909
49015,3343
49017,2347
49019,5458
49021,17089
49023,3598
49025,3488
49027,4748
49029,2239
49031,269
49033,809
49035,682208
49037,4518
49039,7695
49041,8749
49043,26753
49045,15986
49047,14728
49049,227174
49051,8341
49053,59731
49055,1030
49057,104551
50001,16722
50003,18452
50005,11919
50007,109327
50009,1125
50011,18662
50013,1291
50015,12892
50017,8666
50019,11592
50021,29778
50023,36007
50025,24465
50027,25267
51001,14073
51003,0
51005,0
51007,0
51009,2690
51011,9393
51013,3420
51015,188882
51017,2487
51019,20628
51021,2072
51023,10906
51025,4473
51027,7398
51029,3566
51031,0
51033,0
51035,0
51036,6215
51037,1737
51041,3199
51043,140824
51045,4150
51047,755
51049,16718
51051,1494
51053,3950
51057,4124
51059,23745
51061,3351
51063,4859
51065,15797
51067,5123
51069,10106
51071,15926
51073,2841
51075,3907
51077,13133
51079,53807
51081,200391
51083,597
51085,11779
51087,1055
51089,11950
51091,4010
51093,4879
51095,4950
51097,167038
51099,10173
51101,2880
51103,3444
51105,1608
51107,12624
51109,3509
51111,4275
51113,4475
51115,5235
51117,2628
51119,6304
51121,10014
51125,6027
51127,5574
51131,7659
51133,9629
51135,14884
51137,1745
51139,3090
51141,7795
51143,5277
51145,15035
51147,13137
51149,45251
51153,2688
51155,4072
51157,16535
51159,12991
51161,3813
51163,12363
51165,102734
51167,104892
51169,64344
51171,108356
51173,190935
51175,53310
51177,161206
51179,72049
51181,30601
51183,202319
51185,99483
51187,8406
51191,50511
51193,74755
51195,13155
51197,34299
51199,692755
51510,57003
51515,8170
51520,26277
51530,44418
51540,52378
51550,41533
51570,32914
51580,167003
51590,63138
51595,14356
51600,65819
51610,8951
51620,61893
51630,32076
51640,17060
51650,26261
51660,7341
51670,6424
51678,86287
51680,43819
51683,24707
51685,155895
51690,1395
51700,40222
51710,11585
51720,1875
51730,34077
51735,771
51740,39454
51750,23597
51760,22914
51770,9063
51775,1355524
51790,101890
51800,15254
51810,7239
51820,26124
51830,3055
51840,15012
53001,17877
53003,6971
53005,3226
53007,338371
53009,6134
53011,51737
53013,2288
53015,300180
53017,230266
53019,10922
53021,113629
53023,807
53025,27836
53027,92139
53029,20524
53031,108492
53033,3784
53035,35092
53037,6577
53039,4317
53041,8772
53043,56669
53045,1533
53047,1536
53049,1591
53051,11800
53053,2484
53055,3766
53057,14479
53059,4464
53061,10651
53063,6238
53065,38050
53067,8411
53069,17454
53071,111997
53073,7426
53075,2961
53077,10986
54001,5216
54003,21148
54005,11291
54007,6250
54009,21872
54011,8360
54013,6248
54015,61974
54017,2157
54019,2966
54021,8449
54023,31184
54025,1763
54027,3124
54029,3225
54031,8128
54033,22466
54035,34768
54037,12439
54039,3767
54041,3295
54043,2664
54045,3667
54047,2923
54049,2552
54051,8607
54053,9523
54055,2133
54057,4957
54059,656
54061,40605
54063,5179
54065,4542
54067,8555
54069,23225
54071,4311
54073,162303
54075,4184
54077,5041
54079,14969
54081,26007
54083,11944
54085,23261
54087,8010
54089,348259
54091,36453
54093,14312
54095,17628
54097,19308
54099,61779
54101,1029
54103,49339
54105,3303
54107,20851
54109,16969
55001,6836
55003,11169
55005,1789
55007,9296
55009,35045
55011,9602
55013,64317
55015,7056
55017,74634
55019,4459
55021,7795
55023,11454
55025,35383
55027,74739
55029,19885
55031,3922
55033,2248
55035,520058
55037,21403
55039,9493
55041,17755
55043,112227
55045,45213
55047,2423
55049,11846
55051,17113
55053,37704
55055,5999
55057,78286
55059,6675
55061,68770
55063,5646
55065,35465
55067,38649
55069,7068
55071,13960
55073,61896
55075,8442
55077,15211
55078,9651
55079,8087
55081,44451
55083,6282
55085,57276
55087,251817
55089,20770
55091,6461
55093,96706
55095,39340
55097,0
55099,18779
55101,4762
55103,29865
55105,7999
55107,7011
55109,2634
55111,17618
55113,4968
55115,2168
55117,3448
55119,52553
55121,6427
55123,44246
55125,1050
55127,14687
55129,4080
55131,14378
55133,4810
55135,24932
55137,20352
55139,9268
55141,4029
56001,2566
56003,0
56005,0
56007,0
56009,0
56011,0
56013,0
56015,0
56017,0
56019,0
56021,0
56023,0
56025,0
56027,0
56029,0
56031,0
56033,0
56035,0
56037,0
56039,0
56041,0
56043,0
56045,0
